nama_perusahaan,parameter,nilai,judul_sumber,url_sumber,tanggal_sumber,tanggal_akses,status,catatan_crm
PT Pamapersada Nusantara,Lingkup jasa,Pengeboran dan peledakan; Pengupasan lapisan tanah penutup; Penggalian batubara; Peremukan batubara; Transportasi batubara; Pengapalan,Tentang Kami - Pamapersada,https://www.pamapersada.com/en/about-us,,2026-09-03,Sumber Resmi,
PT Pamapersada Nusantara,Komoditas,Batubara,Tentang Kami - Pamapersada,https://www.pamapersada.com/en/about-us,,2026-09-03,Sumber Resmi,
PT Pamapersada Nusantara,Cakupan rantai nilai,Operasi tambang; Infrastruktur; Reklamasi; Eksplorasi; Perencanaan,Tentang Kami - Pamapersada,https://www.pamapersada.com/en/about-us,,2026-09-03,Sumber Resmi,
PT Putra Perkasa Abadi,Subsektor,Jasa pertambangan batubara,Profil resmi PPA,https://ppa.co.id/en/,,2026-09-03,Sumber Resmi,
PT Putra Perkasa Abadi,Peran usaha,Kontraktor pertambangan,Profil resmi PPA,https://ppa.co.id/en/,,2026-09-03,Sumber Resmi,
PT Putra Perkasa Abadi,Lingkup jasa,Penyewaan alat berat; Pemindahan tanah; Pertambangan; Pengupasan lapisan tanah penutup; Pengangkutan batubara; Pengelolaan pelabuhan,Profil resmi PPA,https://ppa.co.id/en/,,2026-09-03,Sumber Resmi,
PT Putra Perkasa Abadi,Komoditas,Batubara,Profil resmi PPA,https://ppa.co.id/en/,,2026-09-03,Sumber Resmi,
PT Putra Perkasa Abadi,Cakupan rantai nilai,Pemindahan tanah; Pertambangan; Pengangkutan; Pengelolaan pelabuhan,Profil resmi PPA,https://ppa.co.id/homepage/,,2026-09-03,Sumber Resmi,
PT Cipta Kridatama,Subsektor,Jasa pertambangan batubara,Layanan ABM Investama,https://abm-investama.com/menu/25/services,,2026-09-03,Sumber Resmi,
PT Cipta Kridatama,Peran usaha,Kontraktor pertambangan,Layanan ABM Investama,https://abm-investama.com/menu/25/services,,2026-09-03,Sumber Resmi,
PT Cipta Kridatama,Lingkup jasa,Konstruksi pertambangan; Penyewaan alat berat; Pengiriman batubara,Layanan ABM Investama,https://abm-investama.com/menu/25/services,,2026-09-03,Sumber Resmi,
PT Cipta Kridatama,Komoditas,Batubara,Layanan ABM Investama,https://abm-investama.com/menu/25/services,,2026-09-03,Sumber Resmi,
PT Cipta Kridatama,Cakupan rantai nilai,Jasa pertambangan terintegrasi dari hulu hingga hilir,Layanan ABM Investama,https://abm-investama.com/menu/25/services,,2026-09-03,Sumber Resmi,
PT Darma Henwa Tbk,Subsektor,Jasa pertambangan batubara; Jasa pertambangan mineral,Kegiatan Operasional Darma Henwa,https://www.ptdh.co.id/business,,2026-09-03,Sumber Resmi,
PT Darma Henwa Tbk,Peran usaha,Kontraktor pertambangan,Kegiatan Operasional Darma Henwa,https://www.ptdh.co.id/business,,2026-09-03,Sumber Resmi,
PT Darma Henwa Tbk,Lingkup jasa,Pembukaan lahan; Pengupasan lapisan tanah penutup; Pengambilan batubara; Rehabilitasi; Infrastruktur tambang; Pengangkutan; Operasi pelabuhan,Kegiatan Operasional Darma Henwa,https://www.ptdh.co.id/business,,2026-09-03,Sumber Resmi,
PT Darma Henwa Tbk,Komoditas,Batubara; Mineral,Kegiatan Operasional Darma Henwa,https://www.ptdh.co.id/business,,2026-09-03,Sumber Resmi,
PT Darma Henwa Tbk,Cakupan rantai nilai,Jasa pertambangan terintegrasi; Infrastruktur; Logistik; Operasi pelabuhan,Kegiatan Operasional Darma Henwa,https://www.ptdh.co.id/business,,2026-09-03,Sumber Resmi,
